Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/production,2771,0,6,8.05472113712642,3.816837001068052,198.78019299721927,118.33634067123782,24.220655966644028,0.0,6,7,9,9,13,17,20,24,200,200,200
,Aggregated,2771,0,6,8.05472113712642,3.816837001068052,198.78019299721927,118.33634067123782,24.220655966644028,0.0,6,7,9,9,13,17,20,24,200,200,200
