Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,36,0,950.0,999.5230886668448,19.749844999751076,2508.5869210015517,99.0,0.30477092512997844,0.0,990,1200,1400,1600,1800,2200,2500,2500,2500,2500,2500
POST,/predict/neural-network,340,0,960.0,994.2308549500125,28.450398000131827,2538.1902829976752,120.10588235294118,2.8783920706720187,0.0,960,1200,1300,1400,1700,2000,2200,2300,2500,2500,2500
POST,/predict/neural-network [batch-burst],890,0,810.0,843.249750833758,3.7568410007224884,2779.589071000373,120.00112359550562,7.534614537935578,0.0,810,1000,1200,1300,1600,1800,2100,2400,2800,2800,2800
POST,/predict/random-forest,295,0,3100.0,3133.067578244132,116.65730000095209,6242.692103998706,119.46440677966102,2.4974284142595455,0.0,3100,3500,3800,4100,4600,5300,5900,6100,6200,6200,6200
POST,/predict/random-forest [batch-burst],590,0,3400.0,3400.65359921867,84.23993199903634,6713.287807000597,119.31864406779661,4.994856828519091,0.0,3400,3900,4100,4300,4800,5200,6000,6400,6700,6700,6700
,Aggregated,2151,0,1400.0,1885.2413571539214,3.7568410007224884,6713.287807000597,119.40539284053928,18.210062776516214,0.0,1400,2400,3000,3300,4100,4600,5200,5800,6400,6700,6700
