Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/healthz,315,0,7,16.30192459353046,1.6851040054461919,384.53674300399143,1.0,1.8107328005203573,0.0,7,10,15,20,32,56,96,150,380,380,380
POST,/predict_random_forest,4965,139,280.0,309.378226777319,92.42376100155525,1152.0192440002575,36.0539778449144,28.540597951058963,0.7990217754677132,280,330,360,390,460,530,640,740,1100,1200,1200
POST,/predict_random_forest [batch-burst],9147,104,300.0,328.90854264338014,92.53616899513872,1175.6996500043897,35.56335410517109,52.58023151225304,0.5978292420765624,300,330,360,390,460,530,610,730,1100,1200,1200
,Aggregated,14427,243,290.0,315.36178289009206,1.6851040054461919,1175.6996500043897,34.97754210854647,82.93156226383236,1.3968510175442757,290,330,360,390,460,530,620,730,1100,1200,1200
