Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/healthz,315,0,7,15.7341852634018,1.8056240005535074,346.36864599451656,1.0,1.7993098598170092,0.0,7,11,14,18,35,56,95,160,350,350,350
POST,/predict_random_forest,5171,51,240.0,271.5943156395708,114.34413800452603,1112.9260300003807,35.33320440920518,29.537242174964298,0.29131683444656337,240,280,300,320,390,470,650,800,1000,1100,1100
POST,/predict_random_forest [batch-burst],9411,119,280.0,306.99500473053524,104.35605799284531,1169.2752509989077,35.638614387418976,53.75652409758055,0.6797392803753146,280,310,340,360,420,490,600,700,1000,1200,1200
,Aggregated,14897,170,270.0,288.5480609551761,1.8056240005535074,1169.2752509989077,34.800161106263005,85.09307613236186,0.9710561148218779,270,300,330,340,400,480,610,730,1000,1200,1200
